datetime,longitude,latitude,elevation
2000-02-11,110.37550488635934,21.625098918845033,52
2000-02-11,110.6255060299298,21.625098918845033,28
2000-02-11,110.87550717350027,21.625098918845033,25
2000-02-11,111.12550831707073,21.625098918845033,69
2000-02-11,111.37550946064118,21.625098918845033,111
2000-02-11,111.62551060421166,21.625098918845033,72
2000-02-11,111.87551174778211,21.625098918845033,13
2000-02-11,112.12551289135257,21.625098918845033,71
2000-02-11,112.37551403492304,21.625098918845033,133
2000-02-11,112.6255151784935,21.625098918845033,68
2000-02-11,112.87551632206396,21.625098918845033,102
2000-02-11,110.37550488635934,21.8751000624155,66
2000-02-11,110.6255060299298,21.8751000624155,53
2000-02-11,110.87550717350027,21.8751000624155,60
2000-02-11,111.12550831707073,21.8751000624155,269
2000-02-11,111.37550946064118,21.8751000624155,274
2000-02-11,111.62551060421166,21.8751000624155,226
2000-02-11,111.87551174778211,21.8751000624155,44
2000-02-11,112.12551289135257,21.8751000624155,31
2000-02-11,112.37551403492304,21.8751000624155,60
2000-02-11,112.6255151784935,21.8751000624155,97
2000-02-11,112.87551632206396,21.8751000624155,79
2000-02-11,113.12551746563443,21.8751000624155,73
2000-02-11,113.37551860920489,21.8751000624155,47
2000-02-11,113.62551975277536,21.8751000624155,106
2000-02-11,113.87552089634582,21.8751000624155,78
2000-02-11,114.12552203991628,21.8751000624155,86
2000-02-11,114.37552318348675,21.8751000624155,176
2000-02-11,110.37550488635934,22.12510120598596,130
2000-02-11,110.6255060299298,22.12510120598596,85
2000-02-11,110.87550717350027,22.12510120598596,104
2000-02-11,111.12550831707073,22.12510120598596,244
2000-02-11,111.37550946064118,22.12510120598596,365
2000-02-11,111.62551060421166,22.12510120598596,216
2000-02-11,111.87551174778211,22.12510120598596,192
2000-02-11,112.12551289135257,22.12510120598596,162
2000-02-11,112.37551403492304,22.12510120598596,55
2000-02-11,112.6255151784935,22.12510120598596,50
2000-02-11,112.87551632206396,22.12510120598596,38
2000-02-11,113.12551746563443,22.12510120598596,22
2000-02-11,113.37551860920489,22.12510120598596,27
2000-02-11,113.62551975277536,22.12510120598596,28
2000-02-11,113.87552089634582,22.12510120598596,118
2000-02-11,114.12552203991628,22.12510120598596,68
2000-02-11,114.37552318348675,22.12510120598596,101
2000-02-11,110.37550488635934,22.37510234955642,236
2000-02-11,110.6255060299298,22.37510234955642,214
2000-02-11,110.87550717350027,22.37510234955642,198
2000-02-11,111.12550831707073,22.37510234955642,483
2000-02-11,111.37550946064118,22.37510234955642,763
2000-02-11,111.62551060421166,22.37510234955642,486
2000-02-11,111.87551174778211,22.37510234955642,191
2000-02-11,112.12551289135257,22.37510234955642,297
2000-02-11,112.37551403492304,22.37510234955642,68
2000-02-11,112.6255151784935,22.37510234955642,21
2000-02-11,112.87551632206396,22.37510234955642,35
2000-02-11,113.12551746563443,22.37510234955642,21
2000-02-11,113.37551860920489,22.37510234955642,62
2000-02-11,113.62551975277536,22.37510234955642,42
2000-02-11,113.87552089634582,22.37510234955642,166
2000-02-11,114.12552203991628,22.37510234955642,145
2000-02-11,114.37552318348675,22.37510234955642,126
2000-02-11,114.6255243270572,22.37510234955642,26
2000-02-11,110.37550488635934,22.625103493126886,209
2000-02-11,110.6255060299298,22.625103493126886,396
2000-02-11,110.87550717350027,22.625103493126886,324
2000-02-11,111.12550831707073,22.625103493126886,407
2000-02-11,111.37550946064118,22.625103493126886,480
2000-02-11,111.62551060421166,22.625103493126886,196
2000-02-11,111.87551174778211,22.625103493126886,161
2000-02-11,112.12551289135257,22.625103493126886,284
2000-02-11,112.37551403492304,22.625103493126886,141
2000-02-11,112.6255151784935,22.625103493126886,53
2000-02-11,112.87551632206396,22.625103493126886,79
2000-02-11,113.12551746563443,22.625103493126886,3
2000-02-11,113.37551860920489,22.625103493126886,19
2000-02-11,113.62551975277536,22.625103493126886,2
2000-02-11,113.87552089634582,22.625103493126886,41
2000-02-11,114.12552203991628,22.625103493126886,70
2000-02-11,114.37552318348675,22.625103493126886,167
2000-02-11,114.6255243270572,22.625103493126886,47
2000-02-11,114.87552547062766,22.625103493126886,63
2000-02-11,115.3755277577686,22.625103493126886,13
2000-02-11,115.62552890133905,22.625103493126886,5
2000-02-11,110.37550488635934,22.875104636697348,178
2000-02-11,110.6255060299298,22.875104636697348,208
2000-02-11,110.87550717350027,22.875104636697348,350
2000-02-11,111.12550831707073,22.875104636697348,366
2000-02-11,111.37550946064118,22.875104636697348,281
2000-02-11,111.62551060421166,22.875104636697348,106
2000-02-11,111.87551174778211,22.875104636697348,284
2000-02-11,112.12551289135257,22.875104636697348,141
2000-02-11,112.37551403492304,22.875104636697348,128
2000-02-11,112.6255151784935,22.875104636697348,83
2000-02-11,112.87551632206396,22.875104636697348,120
2000-02-11,113.12551746563443,22.875104636697348,2
2000-02-11,113.37551860920489,22.875104636697348,-1
2000-02-11,113.62551975277536,22.875104636697348,13
2000-02-11,113.87552089634582,22.875104636697348,44
2000-02-11,114.12552203991628,22.875104636697348,66
2000-02-11,114.37552318348675,22.875104636697348,83
2000-02-11,114.6255243270572,22.875104636697348,99
2000-02-11,114.87552547062766,22.875104636697348,94
2000-02-11,115.12552661419814,22.875104636697348,58
2000-02-11,115.3755277577686,22.875104636697348,41
2000-02-11,115.62552890133905,22.875104636697348,45
2000-02-11,115.87553004490952,22.875104636697348,34
2000-02-11,116.12553118847998,22.875104636697348,14
2000-02-11,110.37550488635934,23.125105780267813,135
2000-02-11,110.6255060299298,23.125105780267813,133
2000-02-11,110.87550717350027,23.125105780267813,143
